login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
mhodgesatuh,4.0,0.0,0.0,11.0,16,1,1,7,689,162,582,147
fabegalo,19.0,0.0,0.0,7.0,0,1,1,1,136,1317,1,3
marvj69,1.0,0.0,0.0,2.0,4,1,2,0,638,0,0,29
fvanevski,0.0,1.0,0.0,5.0,0,1,1,0,163,34,0,7
keboqi,0.0,0.0,1.0,14.0,5,1,2,0,34,0,0,16
siddharthshah87,2.0,1.0,0.0,13.0,36,1,1,0,116,961,0,0
hamawiom2018,1.0,0.0,0.0,8.0,12,1,1,0,30,0,0,8
GlacierEQ,0.0,1.0,1.0,1.0,28,1,16,0,0,0,0,0
Erzadon,0.0,0.0,0.0,10.0,0,1,1,0,35,0,0,8
ComradeGu459,0.0,0.0,0.0,1.0,0,1,1,0,132,0,0,25
ShotaroTsuji,11.0,0.0,0.0,16.0,1,1,1,0,816,4383,5,162
tejeshwerk,0.0,0.0,0.0,1.0,3,1,1,0,35,0,0,17
brad1,3.0,0.0,0.0,13.0,37,1,2,0,86,0,0,46
traecneh,0.0,0.0,0.0,14.0,1,1,2,0,359,0,0,12
John-Allard,0.0,0.0,0.0,4.0,38,1,1,3,478,453,0,113
mosal1978,0.0,0.0,0.0,2.0,56,1,1,1,22,0,0,13
venerated,1.0,0.0,0.0,12.0,0,1,1,0,48,2388,0,6
DBKamar,4.0,0.0,0.0,3.0,0,1,1,0,23,58,0,5
BigBoost-Dev,0.0,0.0,0.0,1.0,5,1,1,0,195,0,0,32
dredavidOps,1.0,1.0,1.0,5.0,31,1,2,0,101,0,1,8
akashsharma95,29.0,0.0,0.0,14.0,3,1,1,3,53,0,5,31
Berdegeus,9.0,0.0,0.0,7.0,1,1,1,1,351,0,0,36
zeeb0tt,0.0,3.0,0.0,5.0,1,1,1,0,24,76,0,3
glitch-bee,0.0,0.0,0.0,3.0,44,1,2,0,517,56,0,56
