login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
Greensand321,0.0,0.0,0.0,2.0,54,1,2,1,1134,0,0,533
Tennessee-Wallaceh,17.0,1.0,1.0,11.0,13,1,3,1,693,0,12,154
fabianaguero,0.0,0.0,0.0,12.0,39,1,4,11,1107,0,38,207
Fergo,19.0,23.0,2.0,16.0,0,1,1,0,38,0,1,6
Leeksov,19.0,3.0,1.0,5.0,0,1,1,11,53,0,0,1
AntonButov,10.0,0.0,0.0,7.0,12,1,1,8,1994,0,0,464
diogocorreia98,0.0,0.0,0.0,4.0,46,1,3,0,86,599,0,31
VictorNain26,3.0,0.0,0.0,6.0,31,1,5,0,549,6486,1,105
CrazyDubya,6.0,1.0,1.0,4.0,51,1,7,6,871,1062,45,356
freakingjesus,0.0,0.0,0.0,4.0,47,1,3,0,337,0,1,156
bho18,0.0,0.0,0.0,12.0,44,1,3,0,9,0,0,11
SwartzMss,17.0,1.0,1.0,10.0,47,1,25,0,2824,0,3,510
Prendergast0065,0.0,0.0,0.0,1.0,37,1,1,0,180,0,0,83
sitaurs,0.0,0.0,0.0,1.0,18,1,8,2,159,0,0,65
KhandokarAP3,0.0,0.0,0.0,6.0,24,1,2,2,15,0,1,8
bakshirajeev,0.0,0.0,0.0,8.0,3,1,2,0,9,0,0,7
dattmumas,0.0,0.0,0.0,3.0,23,1,1,0,611,0,0,101
perfektnacht,0.0,0.0,0.0,4.0,0,1,1,0,93,282,0,1
zero41120,6.0,0.0,0.0,11.0,38,1,2,5,304,107,0,90
pablitxn,43.0,0.0,0.0,8.0,15,1,1,1,319,6566,4,15
4erdenko,37.0,18.0,5.0,5.0,71,2,3,4,521,2261,1,58
tjlong84,0.0,0.0,0.0,9.0,2,1,0,1,0,0,0,0
Jherlil,1.0,1.0,1.0,1.0,31,1,28,0,117,0,0,70
jihlenburg,0.0,1.0,0.0,5.0,0,1,1,1,265,0,0,7
nmo-genio,5.0,2.0,1.0,9.0,37,1,7,1,226,33,3,37
samdsmx,9.0,0.0,3.0,13.0,0,1,1,3,160,42,7,37
matnet,0.0,0.0,0.0,13.0,0,1,1,0,20,0,0,1
TWVyY3VyaW8K,6.0,5.0,1.0,10.0,0,1,1,0,13,0,0,7
Barry1701,0.0,0.0,2.0,3.0,47,1,2,0,716,0,0,65
perschulte,1.0,0.0,0.0,15.0,1,1,1,1,69,0,0,8
mykcryptodev,32.0,2.0,1.0,5.0,55,2,4,2,4045,5333,18,533
duskdating,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,9
marspengexdell,0.0,0.0,0.0,1.0,33,1,2,0,1138,0,0,253
akashdbsf,0.0,0.0,0.0,10.0,0,1,1,0,11,318,0,5
Bernuz2003,2.0,0.0,0.0,2.0,0,1,1,0,111,0,1,6
lescurej,1.0,0.0,0.0,12.0,6,1,3,5,157,0,0,77
forntoh,22.0,216.0,47.0,9.0,9,1,1,5,2704,790,39,150
AkkarinRothen,0.0,1.0,0.0,2.0,13,1,2,0,431,0,1,93
MaxTeiger,10.0,0.0,0.0,8.0,0,1,1,0,414,2370,2,41
EdmundTehEs,1.0,0.0,1.0,2.0,4,1,1,1,87,0,1,22
JankoV12,6.0,0.0,0.0,5.0,1,1,2,6,649,0,20,155
alexandrevcalmon,0.0,0.0,0.0,3.0,17,1,2,1,2,0,0,5
mikemcevoyiom,0.0,0.0,0.0,6.0,8,1,1,0,221,0,1,100
cruzas,6.0,1.0,1.0,12.0,50,1,1,0,1013,0,0,141
enpici,0.0,0.0,0.0,12.0,0,1,1,0,0,0,0,24
jassus,0.0,0.0,0.0,8.0,19,1,1,3,451,0,0,34
aicnggsb,0.0,0.0,0.0,10.0,54,1,1,0,1016,0,0,254
titanmind,0.0,0.0,0.0,13.0,11,1,2,1,442,0,0,181
gkrost,0.0,0.0,0.0,15.0,4,1,4,0,0,0,0,0
Funtikcorp,0.0,0.0,0.0,2.0,0,1,1,0,1,0,0,12
WimpyvL,2.0,0.0,0.0,7.0,54,1,2,9,542,2041,0,36
enriquito11,2.0,0.0,0.0,5.0,0,1,1,0,25,28,12,8
madhunm,4.0,0.0,0.0,13.0,0,1,1,2,74,0,0,7
kl1986,0.0,0.0,0.0,9.0,27,1,1,0,95,0,1,33
kllgfzobgJle,0.0,0.0,0.0,1.0,13,1,1,0,106,0,0,41
jrmintz24,0.0,0.0,0.0,1.0,40,1,2,0,577,0,0,45
Dragomitch,12.0,0.0,0.0,13.0,7,1,1,1,40,186,2,24
Pkalliagkas1989,0.0,0.0,1.0,2.0,40,1,7,0,146,0,0,110
JMosh89,0.0,0.0,0.0,1.0,7,1,1,0,33,0,0,11
arielhl1713,0.0,0.0,0.0,1.0,13,1,2,1,0,0,0,28
JS1240,9.0,0.0,0.0,6.0,18,1,3,1,182,7,0,65
maxim920,0.0,0.0,0.0,5.0,0,1,1,1,43,0,0,2
nprmedia,0.0,0.0,0.0,1.0,53,1,1,0,638,0,1,184
MDCGP,0.0,0.0,0.0,2.0,0,1,1,0,13,0,0,5
DongVNguyen,0.0,0.0,0.0,2.0,0,1,1,0,0,0,0,0
BerkanG2144,0.0,0.0,0.0,1.0,31,1,4,0,24,0,0,17
ricktu288,156.0,1519.0,235.0,14.0,0,1,1,0,2186,0,1,6
t-ooshiro0125,0.0,0.0,0.0,7.0,15,1,1,0,5,0,1,5
itprodirect,4.0,1.0,1.0,4.0,23,1,4,0,235,34,0,71
BenjaminFrazer,5.0,1.0,1.0,6.0,2,1,1,0,1032,820,2,20
RDLSMODERNIZACION,0.0,0.0,0.0,1.0,1,1,1,0,120,0,0,22
jhurray,188.0,0.0,0.0,14.0,17,1,1,6,177,1167,8,32
cristianmayco,2.0,0.0,0.0,13.0,2,1,2,0,56,0,0,11
satvikkaul,6.0,0.0,0.0,8.0,1,1,2,1,103,1520,1,32
Vechegaray23,0.0,0.0,1.0,3.0,45,1,5,0,65,0,0,74
vmf20288,0.0,0.0,0.0,1.0,42,1,2,0,298,0,0,131
xr-24,0.0,0.0,0.0,1.0,0,1,3,0,19,0,0,10
iAxvleda,0.0,0.0,0.0,3.0,12,1,1,0,43,81,0,18
Zoney,14.0,0.0,0.0,16.0,33,1,1,2,173,0,3,30
DCMHopper,0.0,0.0,0.0,6.0,1,1,1,0,85,284,0,11
kuolAIx,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
RayHollister,7.0,0.0,0.0,16.0,13,1,1,10,2446,10,1,15
trishab,0.0,0.0,0.0,13.0,1,1,1,0,16,0,0,12
brownho,0.0,0.0,0.0,1.0,2,1,2,0,0,0,0,0
sir306,2.0,0.0,1.0,8.0,50,1,1,0,2876,0,0,2
FabricioClaureV,0.0,0.0,0.0,1.0,0,1,1,0,26,0,0,1
hdw051,0.0,0.0,0.0,8.0,8,1,3,0,0,0,0,0
juancarlosasensio,1.0,1.0,0.0,8.0,0,1,1,0,848,400,5,132
MrFoxCride,0.0,0.0,0.0,2.0,9,1,1,0,218,0,0,55
Seraxel97,0.0,0.0,0.0,2.0,5,1,1,0,145,0,0,22
tbernhard17,0.0,0.0,0.0,1.0,1,1,1,0,2,0,0,0
aria1th,103.0,0.0,0.0,8.0,0,1,1,0,1290,0,2,226
trungkien1992,8.0,0.0,0.0,8.0,1,1,1,1,231,0,0,35
ashim-gelal-citytech,0.0,0.0,0.0,1.0,1,1,1,0,11,0,0,8
simyci,0.0,0.0,0.0,10.0,0,1,1,0,1,0,0,2
Bafav,0.0,0.0,0.0,1.0,0,1,2,0,29,0,0,3
VoxelGuy,0.0,0.0,0.0,13.0,0,1,1,0,28,0,0,15
redreceipt,12.0,0.0,0.0,14.0,37,1,1,8,2296,8968,311,430
alan-mroczek,7.0,0.0,0.0,10.0,0,1,1,0,26,1399,0,3
Hamzart,3.0,0.0,0.0,12.0,0,1,1,0,21,0,0,10
Danisaxas,0.0,0.0,0.0,2.0,1,1,2,0,1269,0,0,13
nightskylark,8.0,0.0,0.0,14.0,7,1,2,1,370,80,281,94
Radu028,0.0,0.0,0.0,3.0,0,1,1,1,555,1493,1,6
sufiyan-cyber,1.0,0.0,0.0,3.0,0,1,1,0,36,0,0,0
j00x,0.0,0.0,0.0,13.0,6,1,2,0,0,0,0,0
ammaarahmed,2.0,0.0,0.0,9.0,43,1,3,2,127,168,0,50
peterlodri92,13.0,0.0,0.0,2.0,20,1,1,1,48,700,1,7
spainion,0.0,1.0,1.0,4.0,9,1,2,0,0,0,0,0
ShaRefOh,0.0,0.0,0.0,4.0,7,1,1,1,204,0,0,19
metaphorz,23.0,0.0,0.0,13.0,34,1,4,1,224,0,0,17
rivabpineau,0.0,0.0,0.0,4.0,2,1,3,1,63,0,0,19
serdar6684,0.0,0.0,0.0,8.0,0,1,1,0,2,0,0,0
santinopnp,0.0,0.0,0.0,1.0,19,1,3,0,250,0,2,85
jztan,3.0,3.0,0.0,13.0,7,1,1,1,391,2049,1,54
RealStateDev,0.0,0.0,0.0,1.0,48,1,2,0,0,0,0,0
Tomcrconsultor,0.0,0.0,0.0,2.0,0,1,1,0,76,0,0,1
htg1616,1.0,0.0,0.0,6.0,1,1,1,0,388,0,0,18
TBaudson,0.0,0.0,0.0,6.0,0,1,1,0,28,0,0,3
michaelb3800,0.0,0.0,0.0,1.0,39,1,2,0,59,0,0,20
sagy101,1.0,1.0,0.0,7.0,20,1,1,0,341,0,1,188
hutauf,30.0,1.0,0.0,11.0,36,1,2,0,114,0,0,36
eracle,97.0,0.0,0.0,13.0,9,1,1,4,444,4146,4,25
c1r5,3.0,0.0,0.0,5.0,25,1,2,1,369,319,0,5
OlegQm,2.0,1.0,0.0,5.0,34,1,3,0,232,960,2,54
Venneqz,0.0,0.0,0.0,4.0,19,1,2,2,202,0,0,22
JPCodes44,7.0,0.0,0.0,6.0,4,1,1,1,210,88,2,50
Frostube,0.0,3.0,1.0,5.0,1,1,3,1,42,0,0,24
MartinToOr,0.0,0.0,0.0,3.0,38,1,2,0,113,0,1,32
rovimartinez,0.0,0.0,0.0,5.0,0,1,1,0,20,0,0,0
oledjo,0.0,0.0,0.0,14.0,0,1,1,0,12,0,0,1
NiekJJ,0.0,0.0,0.0,1.0,1,1,1,0,37,0,0,13
GLG9,0.0,0.0,0.0,2.0,23,1,2,0,138,0,1,56
surajwate,8.0,0.0,0.0,16.0,0,1,1,0,1057,1530,1,61
bgtyuh,1.0,0.0,0.0,5.0,0,1,1,0,344,0,0,116
brockmisner,0.0,0.0,0.0,2.0,4,1,2,0,88,0,0,3
ep1lept1c,0.0,0.0,0.0,3.0,0,1,1,2,203,0,1,2
alexchase32,0.0,0.0,0.0,4.0,7,1,3,0,74,0,0,4
Tusalatente,0.0,0.0,0.0,2.0,0,1,1,0,0,0,0,1
levigross,88.0,2161.0,139.0,17.0,0,1,1,2,69,0,8,26
syifan,135.0,0.0,0.0,14.0,0,1,1,12,1180,1365,124,156
Daniil274,0.0,0.0,0.0,6.0,0,1,1,0,43,102,0,7
aidosatai,0.0,0.0,0.0,4.0,0,1,1,0,58,0,0,3
paulovandeveld,1.0,0.0,0.0,10.0,5,1,2,0,33,0,0,5
Itachill,0.0,0.0,0.0,2.0,1,1,3,1,26,0,0,8
AnastasiaIU,6.0,0.0,1.0,6.0,0,1,1,1,604,0,127,116
ColinDuf,3.0,0.0,0.0,5.0,44,1,3,0,101,0,0,3
HazemYacop,1.0,0.0,0.0,1.0,10,1,2,0,907,0,1,262
pdameasap,4.0,0.0,0.0,17.0,1,1,1,0,377,0,0,17
jirimaier,4.0,13.0,5.0,10.0,1,1,1,1,365,0,0,27
ciscosurplus,2.0,0.0,0.0,10.0,0,1,1,0,40,0,0,19
rlutgendorff,0.0,0.0,0.0,11.0,0,1,1,0,10,0,0,7
Max874-bit,0.0,0.0,0.0,1.0,1,1,1,0,15,0,0,2
APiTJLillo,2.0,0.0,0.0,8.0,74,1,4,0,1143,0,0,207
mckinselberg,4.0,0.0,0.0,14.0,3,1,1,0,468,78,0,20
AlisonLuan,1.0,0.0,0.0,10.0,17,1,2,3,117,0,0,24
SoggyPotatoes,0.0,1.0,0.0,1.0,0,1,1,0,43,0,0,27
RookieJoel,3.0,0.0,0.0,10.0,5,1,1,11,802,0,7,84
ladams9999,3.0,0.0,0.0,14.0,36,1,1,0,154,0,0,18
Shajan,8.0,0.0,0.0,14.0,0,1,1,1,151,0,0,2
jlaswell,51.0,0.0,0.0,14.0,0,1,1,5,47,3010,30,24
JeanMeijer,73.0,0.0,0.0,12.0,53,1,3,16,679,1305,48,270
modugnoclaudio,0.0,0.0,0.0,1.0,15,1,3,0,9,0,0,3
continuumNought,2.0,0.0,0.0,13.0,2,1,1,0,217,0,0,33
francescoagati,43.0,0.0,0.0,16.0,0,1,1,0,22,2691,0,5
JhonCalle,0.0,0.0,0.0,7.0,32,1,1,0,63,0,0,17
Apn0,0.0,0.0,0.0,10.0,0,1,1,0,0,0,0,0
Alexxis0,0.0,0.0,0.0,4.0,1,1,1,0,120,259,0,20
andyy909,0.0,0.0,0.0,5.0,0,1,1,0,1,0,0,1
diejfer,0.0,1.0,0.0,6.0,22,1,2,1,32,0,1,19
polw1,4.0,0.0,0.0,4.0,15,1,2,5,121,0,0,8
SteffenHagdorn,4.0,5.0,5.0,15.0,0,1,1,0,0,0,0,1
Shivsaranshthakur1,0.0,0.0,0.0,4.0,0,1,1,0,51,0,0,10
edenlau,0.0,0.0,0.0,11.0,0,1,1,0,26,0,0,18
buffcode,6.0,0.0,0.0,14.0,0,1,1,8,146,122,11,65
andi1984-ds,1.0,0.0,0.0,2.0,0,1,1,5,84,0,0,6
NLstn,0.0,0.0,0.0,12.0,21,1,1,2,873,0,9,208
simonrek,0.0,0.0,0.0,8.0,3,1,1,0,63,31,0,7
theholygrail-ai,0.0,0.0,0.0,2.0,12,1,1,0,447,0,0,169
sarbor,5.0,0.0,0.0,11.0,1,1,1,2,64,1553,0,10
terrpan,3.0,0.0,0.0,11.0,36,1,2,0,160,0,2,37
MrBinnacle,1.0,1.0,0.0,3.0,2,1,3,0,0,0,0,0
boodmi,0.0,0.0,0.0,9.0,0,1,1,0,8,0,0,2
GoEddie,81.0,23.0,4.0,13.0,1,1,1,0,111,106,2,48
uttkarshrastogi,2.0,0.0,0.0,7.0,0,1,1,1,55,42,0,13
faiz-lab,7.0,0.0,0.0,7.0,6,1,2,0,228,4,0,43
JingtianWu,1.0,1.0,0.0,3.0,31,1,1,0,318,0,0,51
HarleyCoops,111.0,0.0,0.0,6.0,42,1,3,10,1278,2659,2,46
PeedroPrado,60.0,0.0,0.0,2.0,0,1,1,4,417,0,0,3
dvolk,21.0,12.0,1.0,16.0,1,1,4,1,2170,657,6,18
accelero42,0.0,0.0,0.0,9.0,2,1,2,0,52,0,0,25
asideridis,0.0,0.0,0.0,5.0,26,1,1,0,20,0,0,10
vinishgeorge,0.0,1.0,0.0,10.0,1,1,2,2,33,160,0,26
aaiyer,5.0,0.0,0.0,16.0,7,1,1,7,11,0,0,13
JanisBurkhalter,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0,1
jadrk040507,0.0,1.0,0.0,6.0,51,1,5,2,595,0,0,19
itsababseh,2.0,0.0,0.0,8.0,2,1,1,1,2,0,17,8
leofurio,0.0,0.0,0.0,12.0,55,1,3,0,75,0,1,20
ThomasRizziOmura,0.0,0.0,0.0,2.0,0,1,1,0,4,0,0,3
OlsenSM91,2.0,0.0,0.0,3.0,13,1,3,1,380,0,0,33
DeFiantVentures,0.0,0.0,0.0,1.0,0,1,1,0,18,0,0,2
take365,0.0,0.0,0.0,5.0,42,1,2,2,147,0,0,72
RecoTG,1.0,0.0,0.0,6.0,0,1,1,3,95,0,0,68
ranjgith-s,0.0,1.0,0.0,5.0,0,1,1,1,258,255,4,69
Vasukommi,4.0,0.0,0.0,10.0,49,1,2,1,599,0,0,259
rsampayo,0.0,21.0,7.0,4.0,20,1,1,0,63,0,3,3
pixelsock,3.0,0.0,0.0,13.0,51,2,3,1,1045,0,9,31
wesleysj,0.0,0.0,0.0,9.0,22,1,2,1,2,0,1,58
Rachid-m,0.0,0.0,0.0,5.0,0,1,1,0,24,0,0,7
bekarys2003,1.0,0.0,0.0,3.0,1,1,1,1,264,0,0,7
Sulaimanma,5.0,0.0,0.0,7.0,0,1,1,0,305,65,0,5
developersdigest,588.0,4913.0,766.0,3.0,10,1,3,27,663,1810,7,27
akashmore,2.0,0.0,0.0,11.0,0,1,1,0,29,0,0,57
TunahanDso,0.0,0.0,0.0,5.0,5,1,2,0,62,0,0,27
FrostyApeOne,1.0,0.0,0.0,5.0,1,1,2,22,311,0,200,292
dovaM99,0.0,0.0,0.0,4.0,0,1,1,0,41,0,0,6
Zzhihon,4.0,5.0,0.0,3.0,0,1,1,1,400,709,0,10
itsmarble,0.0,0.0,0.0,3.0,1,1,2,0,76,0,0,35
mbbrinkman,0.0,0.0,0.0,11.0,0,1,1,0,437,0,0,175
fabricionext,0.0,0.0,0.0,5.0,0,1,1,0,2,0,0,38
alexlev18,0.0,0.0,0.0,7.0,0,1,1,0,17,0,0,7
devalexanderdaza,28.0,1.0,0.0,9.0,10,1,3,7,26060,1340,7,89
shishirbh,3.0,0.0,0.0,10.0,1,1,1,0,9,0,0,5
CTao21,0.0,0.0,0.0,2.0,19,1,1,0,135,0,0,68
Markowes23,0.0,0.0,0.0,2.0,17,2,4,3,20,0,1,14
omair3396,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
okgoogle13,0.0,1.0,0.0,6.0,0,1,1,0,961,0,3,45
wessbh,0.0,0.0,0.0,8.0,0,1,1,0,21,0,0,1
madboy36000,0.0,0.0,0.0,1.0,1,1,1,0,9,0,0,8
robofan45,0.0,0.0,0.0,4.0,0,1,1,0,49,0,0,4
JasonPeng2019,0.0,0.0,0.0,2.0,0,1,1,2,109,0,0,5
ergusto,14.0,0.0,0.0,14.0,0,1,1,3,206,485,18,45
JDemler,27.0,0.0,0.0,11.0,2,2,2,1,216,1829,0,29
jimdc,3.0,0.0,0.0,12.0,0,1,1,0,142,0,0,70
lisandromaselli,7.0,0.0,0.0,11.0,0,1,1,1,145,338,1,7
Kuroiryujin,0.0,0.0,0.0,7.0,0,1,1,0,23,0,0,1
Nau-bu,0.0,0.0,0.0,6.0,0,1,1,0,7,0,0,2
AntoniaPellicano,0.0,0.0,0.0,2.0,0,1,1,0,8,0,0,0
Rafaelhajjar,0.0,0.0,0.0,9.0,0,1,1,0,26,0,0,6
lance0,9.0,0.0,1.0,13.0,26,1,2,8,802,4162,0,7
Maboo420,0.0,0.0,0.0,7.0,0,1,1,0,3,0,0,3
asis5528,5.0,0.0,0.0,10.0,0,1,1,0,28,0,0,3
Ianbusik,0.0,0.0,0.0,9.0,0,1,1,0,5,0,1,2
plantimals,23.0,0.0,0.0,13.0,0,1,1,2,102,0,0,20
mnsami,37.0,138.0,25.0,15.0,26,1,1,1,211,943,0,45
narankhuut,0.0,0.0,0.0,10.0,0,1,1,0,2,0,0,1
SebV77170,0.0,0.0,0.0,3.0,49,1,3,0,594,0,0,48
Yongerulm,0.0,0.0,0.0,5.0,48,1,2,0,143,0,0,20
kevenike,6.0,0.0,0.0,5.0,11,1,3,5,460,0,1,109
tdrkn,4.0,1.0,0.0,6.0,5,1,3,5,223,72,5,56
mahfpds,0.0,0.0,0.0,1.0,0,1,1,1,0,1525,0,1
micromoleckula,6.0,0.0,0.0,4.0,0,1,1,1,556,144,0,8
DotNaos,6.0,0.0,0.0,5.0,9,1,2,3,670,0,0,11
NikolayNN,4.0,0.0,0.0,11.0,50,1,5,0,1043,8771,12,45
SashaRX,1.0,0.0,0.0,12.0,0,1,1,3,40,0,0,10
EggzYy,0.0,0.0,0.0,5.0,0,1,1,3,55,0,0,9
wofare,0.0,0.0,0.0,2.0,1,1,1,0,25,0,0,13
aaroncofer25,0.0,0.0,0.0,5.0,2,1,3,0,21,0,0,7
eklemt,0.0,0.0,0.0,7.0,2,1,1,0,110,0,0,14
Z43L,20.0,1.0,0.0,4.0,2,1,1,0,313,0,2,18
Lukas401,3.0,0.0,0.0,5.0,0,1,1,2,49,0,0,4
kimyag,19.0,0.0,0.0,8.0,0,1,1,0,207,104,6,31
anuragkumarsingh134,0.0,0.0,0.0,5.0,0,1,1,0,41,0,0,2
ItzDevii,0.0,0.0,0.0,2.0,5,1,1,0,39,0,0,11
sabinevidal,9.0,0.0,0.0,7.0,42,1,1,0,381,719,5,69
kostyandrew,21.0,0.0,0.0,13.0,0,1,1,0,72,39,0,1
PedroHBasilio,10.0,0.0,0.0,5.0,0,1,1,0,279,0,36,41
lutfiyeniay,0.0,0.0,0.0,1.0,0,1,1,0,10,0,0,1
tdecroyere,8.0,1.0,0.0,12.0,0,1,1,1,254,12,0,41
sashanclrp,0.0,0.0,0.0,5.0,46,1,1,4,48,0,0,8
zhjlin11,0.0,0.0,0.0,7.0,0,1,1,0,81,0,0,33
Aira167,0.0,0.0,0.0,1.0,0,1,1,0,3,0,0,1
oryx960,0.0,0.0,0.0,7.0,1,1,1,0,59,0,0,8
jedisct1,3992.0,5235.0,401.0,17.0,0,1,1,110,12072,1152,172,499
Vovafirman,0.0,0.0,0.0,1.0,0,1,2,0,113,0,0,10
MiguelDiLalla,0.0,0.0,0.0,3.0,9,1,2,0,523,0,0,19
BekOsu,1.0,0.0,0.0,5.0,20,1,2,0,143,0,0,2
Kumar2022,0.0,0.0,0.0,6.0,0,1,1,0,28,2,1,2
yasoda-krishna,0.0,0.0,0.0,7.0,0,1,1,0,70,0,1,9
dyllun,0.0,0.0,0.0,1.0,2,1,2,0,6,0,0,27
thiagomendes,2.0,0.0,0.0,14.0,0,1,1,2,233,512,0,32
CoffeESIME,3.0,0.0,0.0,7.0,41,1,2,0,359,10,0,52
LunalFresh,0.0,0.0,0.0,2.0,56,1,2,0,21,95,0,2
simon-gonzalez,0.0,0.0,0.0,3.0,36,1,1,0,0,0,0,0
brynary,726.0,0.0,0.0,18.0,1,1,2,19,581,13388,464,286
Ethnotronix,4.0,0.0,0.0,13.0,0,1,1,0,44,0,0,12
Flaxx99,0.0,0.0,0.0,2.0,3,1,1,0,140,0,0,15
raywil1,1.0,0.0,0.0,5.0,0,1,1,0,50,0,0,8
juandiegocardona,8.0,0.0,0.0,7.0,0,1,1,0,188,0,0,3
kwindla,91.0,0.0,0.0,12.0,16,1,2,11,845,0,142,149
meistroburger,43.0,0.0,0.0,6.0,0,1,1,1,214,38319,0,16
praveenjuge,153.0,150.0,9.0,11.0,2,1,1,4,5111,3413,0,57
NeuralNetworkingAlaskan,0.0,0.0,0.0,9.0,0,1,1,0,11,0,0,9
kocahmet1,0.0,0.0,0.0,6.0,18,1,2,0,443,0,0,28
Denshogo,0.0,0.0,0.0,1.0,0,1,1,0,6,0,0,1
ericmichael,65.0,0.0,0.0,14.0,0,1,1,0,257,0,2,46
pn74870,0.0,0.0,0.0,11.0,0,1,1,0,114,0,0,1
asshat1981ar,0.0,1.0,1.0,1.0,9,1,2,1,400,0,3,18
passsy,874.0,97.0,6.0,15.0,0,1,1,21,3119,0,149,398
d-gubert,96.0,0.0,0.0,14.0,0,1,1,4,1216,532,406,401
thinkingserious,296.0,2.0,0.0,17.0,0,1,1,2,209,1094,109,55
MBuczma,0.0,0.0,0.0,9.0,0,1,1,0,76,0,0,0
tranduythanh,12.0,1.0,1.0,13.0,9,1,2,0,484,0,0,12
LaurenceC3HF,0.0,0.0,0.0,1.0,34,1,3,0,65,0,2,5
garrettnorden20,0.0,0.0,0.0,7.0,8,1,2,0,52,540,0,11
elmagico70,0.0,0.0,0.0,1.0,2,1,2,0,32,0,0,7
kern,586.0,9357.0,578.0,18.0,17,1,1,0,192,3472,14,54
pkuehnel,23.0,149.0,21.0,8.0,0,1,1,1,4685,0,4,1177
Harmanny,0.0,0.0,0.0,1.0,0,1,1,0,8,0,0,2
nirjharlo,18.0,11.0,5.0,11.0,0,1,2,0,71,4551,0,10
romainmannino,0.0,0.0,0.0,1.0,0,1,1,0,44,0,0,1
NathanWanz,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
LilithLVar,0.0,0.0,0.0,3.0,0,1,1,1,6,0,0,8
Densuper,0.0,0.0,0.0,4.0,0,1,1,0,38,0,0,21
keyhan-azarjoo,4.0,0.0,0.0,4.0,0,1,1,0,165,0,0,10
Nina-petit,0.0,0.0,0.0,5.0,8,1,1,0,286,2100,0,0
mcd77,1.0,0.0,0.0,3.0,0,1,1,1,8,0,0,0
IFAKeV,0.0,0.0,0.0,2.0,23,1,3,0,272,0,0,213
Husseinhhameed,0.0,0.0,0.0,3.0,0,1,2,0,370,0,0,6
xandrucea,5.0,0.0,0.0,14.0,0,1,1,0,50,0,1,5
mlpierce22,16.0,0.0,0.0,8.0,7,2,1,3,452,6596,9,53
gga-kialo,0.0,0.0,0.0,6.0,0,1,1,3,33,9298,0,3
HealeryY01,0.0,0.0,0.0,3.0,0,1,1,0,153,0,0,4
rricc22,1.0,0.0,0.0,6.0,0,1,1,0,125,0,3,0
rickysoo,1.0,0.0,0.0,12.0,40,1,2,0,285,0,0,8
twinprime19,0.0,0.0,0.0,8.0,0,1,1,4,40,1392,0,1
FoundersCFO,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
lancekrogers,28.0,0.0,0.0,11.0,0,1,1,17,1138,3358,2,16
mr-desilva,27.0,0.0,0.0,7.0,5,1,1,1,135,310,0,18
ktr3,0.0,0.0,0.0,6.0,0,1,1,0,102,0,0,1
LegacyLoop,0.0,0.0,0.0,1.0,0,1,1,0,27,0,0,6
ushiku,0.0,0.0,0.0,11.0,0,1,1,0,10,0,0,5
IROHA-123,0.0,1.0,0.0,2.0,0,1,1,0,74,0,0,28
paolosyloslabini,4.0,0.0,0.0,8.0,0,1,1,2,2036,0,18,56
Rainerrr,0.0,0.0,0.0,6.0,2,1,1,2,116,0,0,17
firehence,2.0,1.0,1.0,3.0,0,1,1,0,53,0,0,2
ynotopec,0.0,0.0,0.0,7.0,0,1,1,6,765,0,0,224
MINORITYmaN,23.0,0.0,0.0,14.0,0,1,1,1,1,0,0,13
Ofear,1.0,0.0,0.0,12.0,0,1,1,0,103,601,0,16
jtlicardo,16.0,54.0,19.0,6.0,1,1,1,3,1328,1718,1,14
Dackss,4.0,0.0,0.0,4.0,0,1,1,0,204,0,0,2
Agusteando,0.0,0.0,0.0,10.0,0,1,1,0,412,0,0,7
AdelPU,0.0,0.0,0.0,3.0,0,1,1,1,5,0,0,7
Ily17as,6.0,0.0,0.0,4.0,0,1,1,4,546,945,0,160
AmudanGanapathy,0.0,0.0,0.0,1.0,2,1,1,0,1,0,0,3
fanat2191,0.0,0.0,0.0,3.0,0,1,1,0,2,0,0,1
agrosso27,0.0,0.0,0.0,4.0,0,1,1,0,1,0,0,2
IncheonYSH,3.0,1.0,0.0,6.0,3,1,1,0,169,619,0,45
robertsousasantos,0.0,0.0,0.0,4.0,6,1,2,0,5,0,0,9
heydershukurov01,31.0,0.0,0.0,10.0,9,1,1,0,51,0,0,8
redeliciousdc,0.0,0.0,0.0,1.0,8,1,1,0,98,0,1,4
parthlathiya12,50.0,1.0,0.0,12.0,0,1,1,0,7,2594,0,1
rafiuskes,0.0,0.0,0.0,11.0,0,1,1,0,20,0,0,6
chrisDeFouRire,14.0,0.0,0.0,13.0,8,1,2,5,260,3315,0,22
victordov,6.0,0.0,0.0,14.0,13,1,2,2,89,503,0,8
GuilhermeViana-22,15.0,0.0,0.0,6.0,0,1,1,0,301,4543,0,2
aaronmunoz,1.0,0.0,0.0,10.0,6,1,1,0,42,0,0,22
Netaniya,0.0,0.0,0.0,4.0,0,1,1,0,18,0,1,10
