Principal_Component_1,Principal_Component_2,login
-0.1850034397079665,-0.1115290328819243,1udvig
1.122494246948151,-0.11870677495611598,1y33
1.5210616127391114,0.48262413730343195,2-z-won
-1.7856302815133422,0.07389246007336768,2000JChen
1.7358938828898638,-0.2964416426581909,2001Y
-2.1779558659560316,0.028584680039628885,2002Bhavanak
-0.10774228915252806,0.379750354300356,2006pritam
-2.2228334608675984,-0.014502479726701323,2012nathan
-0.6025917971661007,-0.22894833759951924,20204166
-0.6509978658808983,0.5244476819560162,2023F-mulbscs-059
-0.5930538625901158,-0.17076421112807194,2050xfs
-1.1367247832461713,-0.29113185353467996,20Dani06
-2.4117490988962844,0.013802853300075912,20M-ok
-2.0123150976822965,-0.07262249046398313,20centgirassol
-2.0589026897258593,-0.054611408705176244,20justinc
2.7831306286970157,-0.6688821782114731,20m61
-1.7241477260316456,-0.0394096409433253,2112kraken
-0.8841994769380095,0.9729583809479698,222jkm
-2.2474408366985483,0.15072637975718925,231Brooks
-1.1468020243931476,-0.27552199219528867,2343523532
-1.9288279387160434,-0.085131417002084,235-star
-1.0728312995707343,-0.30070504902313167,23Nimbus
-2.3212166412569117,0.13938213286746062,24-20
-0.8930237592220666,-0.21661532241687817,2413181638
-0.0946481786897939,-0.12368372239925862,2445868686
-1.3996882476569432,-0.1360593333808386,244x050xShotaTakahashi
-1.915846278260676,0.024654262409216227,245514344
-1.6324351967020874,-0.1063068384553363,245b
-2.1312694242905947,0.05693122980948518,2470594050
-2.4115109285573486,0.12549789678220166,24BS
-0.9725287389326484,0.17159718410935715,24SVEN
-1.4069996802211324,-0.20693199763989795,24b0902
-0.6397266675465468,-0.4410698768319993,24cs106Himanshu
-0.82465020976536,-0.13899924428381152,24rishabh
1.0376214911803927,-0.5915826252050221,24taro
-0.6663480254370228,-0.37590604654817444,26blevine
3.0018734105877853,3.7406082213178427,26medias
-0.6925417086982392,-0.23513112714997647,26rao
2.5386884990758785,-0.533450937374978,2701kai
-0.2395161073652792,-0.41215896948102543,270aldo
0.12682742376897468,-0.1713041190650968,279838089
0.1375566517274336,0.4506132386088,27bhd
-2.385468566366582,-0.033749541425370636,27bro
-0.7590451480868596,-0.27908487443975594,2804622326
-0.23772541381470133,-0.3107852351618011,29cmtruedamage
-0.6498485340083039,-0.03064321554206766,29lcannon
0.5907910254296002,-0.4235511785719708,29thnight
-0.5132851921135556,-0.31526277303321715,2Duo
-1.2962194396579698,-0.1539245545990381,2Ntlaks
1.7681182755108664,-0.6194719339038118,2abet
-1.3864026166515109,0.014022982754619329,2b3d4f
-1.012822560763621,-0.09505360124502081,2bits2
-2.002170023052704,0.1884408131205276,2chooman
-0.722713762755466,-0.13874108783635128,2jw6152
-1.4899065091351642,-0.07450613015956314,2kLEx2
0.5833706488971778,-0.022574267867948476,2lu3
3.0343537826751246,-0.9295642943816307,2nPlusOne
-0.941684213850702,-0.13634894191206604,2nisis
0.18687602132653444,-0.5128425196766857,2rumaki
-0.37237475319834284,-0.04828678583029466,2simguy
-1.012340197055889,0.059130664697788805,2spring
0.20017276390467653,0.756187017953677,2taeyoon
-0.8070484914054737,-0.21501487722677526,2undvierzig
-0.7490447008473039,-0.3772432106073659,2verych
2.4442015739788294,-0.05388219806584081,2wenty2wo
6.553401715052647,3.245347866727326,2ykwang
1.4535777149422897,-0.6693614496854191,2z2z2z
1.9052306464439746,-1.2591739133924476,3000Studios
-0.7841098524439334,-0.25679297850700195,30leo03
-1.9669611620928584,0.1938547562665985,30wolf03
0.3160045376156074,0.7591613674820149,310-whtwht
-0.611325191002901,-0.05339814114752685,317jamtay317
1.0390966889460045,-0.735079463289029,3211133
0.4778676458633614,-0.30838731735267794,32mika
-1.1191333676542319,-0.288506766074136,33fishpaste
-1.3860863053148085,-0.24240990954782624,360innovator
-1.9917669512055705,-0.0491233008274172,365assist
1.4907176563799593,-0.2204373756157012,365cent
-0.1716395333613732,-0.19346301920400108,36bit
-0.5818829812774846,-0.06318291364274048,37715
1.493295246861412,-0.11581196479599234,3arlN3t
-1.3978646959455954,-0.05212005168105903,3as06
-1.4530376575585886,0.008512833747642173,3b391433
-0.18034225046818617,0.04008361327395943,3bdoredaa2244
