login,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
RooNoMore,0,150,0,0,68
RooTinfinite,14,12132,5099,12,24
Rookie-00001,0,174,0,0,1
RookieJoel,11,802,0,7,84
Rooman,4,231,0,19,9
Roosted7,5,9,7,0,9
RootDeveloperDS,2,100,257,0,2
RootHaktivity,1,239,0,0,2
Rootkalilinuxok,0,735,0,0,153
Ropowernet,0,7,0,0,3
RorschachE0,0,24,0,0,4
Rory-OG,0,14,0,0,2
RorySullivan1,0,33,33,0,1
RoseOfficial,10,255,0,0,40
Rosegenfi,0,17,0,0,7
RosenGeorgievUK,0,1,0,0,1
Roshan-Kaveri,5,402,194,0,76
RoshanDewmina,0,259,0,0,5
Roshka-Oleg,0,22,0,0,0
RoskiDeluge,1,671,0,7,20
Roslund,2,481,24,0,18
RossTylr,0,31,0,0,0
RossiEric,0,53,1235,0,12
Rossstiks,0,106,0,0,55
RostykCha,0,232,0,0,4
RostyslavDzhohola,2,586,1094,1,22
RostyslavStupnytskyi,0,76,232,0,4
Rotteveel,3,10,110,0,1
Roughriver74,0,17,0,0,0
Roundlay,1,238,3676,0,2
Route-Reflector,1,0,783,0,0
RovshanMuradov,5,463,378,2,26
RowboTony,4,226,214,0,16
Rowles66,0,0,0,0,5
Rowunk,1,15,701,0,7
Roxdeeejay88,0,4,0,0,1
Roy-Kid,0,0,0,0,0
Roy-helper,0,0,0,0,1
Roy3098,0,7,0,0,3
RoyGSlade,0,0,0,0,0
Royal16980,0,62,0,0,11
Royalties3000,0,19,0,0,1
Royarzunsilva,0,31,0,0,6
Royban09,0,13,346,0,5
RoyeA,1,11,0,0,1
Rrh1999,0,256,0,3,61
Rrock-k,1,701,397,2,35
Rrtk2,0,92,0,0,28
Rsclub22,4,89,80,3,12
Rsho11,0,212,0,1,19
Rsirp0c,2,463,152,1,16
Rsplitstone,1,36,0,0,7
Rubaine,0,91,791,0,3
Ruben1836,0,13,0,0,7
RubenCastaneda,0,244,0,0,59
RubenDomiguezG,2,13,0,0,0
RubenKelevra,31,6971,1663,29,402
RubenOsiris073,0,309,0,6,16
RubenU2002,1,192,0,0,8
RubenVP2,2,245,639,0,21
RubenWegman,0,43,0,0,1
Rubenskoo,0,0,0,0,0
RubinMcLuen,0,119,0,0,20
Ruby-xm,1,2,389,0,2
RuchithJay,1,121,259,0,3
RudenkoDS,0,20,0,0,4
RudhyDev,0,503,1419,1,389
Rudi1213,0,0,0,0,3
RudiRsBr,0,4,0,0,5
RudminDrones,3,37,0,0,5
RudolfWeeber,1,79,0,82,60
Rudra10NS,1,27,0,1,0
Rudra143Sahoo,0,53,0,0,1
Rudra1x,4,290,0,0,1
RudraArora,1,50,0,0,1
RudraTailor,1,81,0,0,3
RuedigerVoigt,0,809,481,0,6
Rufda,0,9,0,0,4
Ruffdraft,0,3,0,0,26
Rufjulien,0,1,0,0,2
Rufous89,0,63,0,0,1
RugvedMavidipalli,3,118,1772,24,40
RuiSu-gif,1,17,0,0,11
Ruidozo,1,502,0,0,48
RuisuX10,1,123,0,0,2
Rukaiya2009,2,227,0,1,54
Rukib90,0,9,0,0,3
Rul1an,45,1617,0,3,173
RulleFlemming,0,76,0,0,1
RumHam1,0,0,0,0,4
RumasorengFadil,1,719,1807,3,15
RumbleKAT,0,1207,513,0,68
RumiDesigns,0,3,0,0,1
Rumolaner,0,98,1184,0,8
RuneBuilder,0,1,0,0,1
RuneDKIng,0,14,0,0,6
RuniThomsen,3,67,0,0,33
RunningLearner,0,1064,144,57,139
Runteryaa,11,443,0,1,32
Runtogetherradcliffe,0,256,0,0,0
RuntyAxis1111,0,990,0,0,2
Rupesh576,6,53,0,0,5
Ruphxs,0,76,0,0,5
RuriMeiko,0,927,767,1,15
RurueruCloverforest,0,169,0,0,103
Rusard,0,161,0,1,32
RushendraNuthi,0,0,0,0,0
RushikeshChavan0101,0,23,0,0,6
Rushil-19-blr,0,54,0,0,7
Rushil-s,0,0,178,0,0
Rushiraj98,0,90,0,0,1
Rushivarmora-gep,0,0,0,0,2
RuslanKot2007,0,0,0,0,7
RussH,3,221,0,8,48
Rustamova00,0,128,0,0,1
RustyCMD,1,126,0,0,19
RustyRaptor,10,778,501,0,62
RustySnipers,0,119,0,0,46
RutPatelSCIT,0,39,0,0,1
Rutherford,1,54,0,1,15
RuthlessMercy307,1,2,0,0,1
RuthlessScout,0,28,0,0,1
Ruthravik,0,2,0,0,2
RuthySheffi,3,14,1737,0,21
RutterIsGit,0,10,0,0,5
Ruwan-Ranganath,1,135,964,1,15
Ruzaid-aman,0,26,618,0,2
Rvillena75,1,13,0,0,1
Rvmbrother,1,109,0,0,41
Rwatana,1,642,0,31,141
RwdRo,1,79,0,0,32
Rx710,0,11,0,0,3
RxV00,0,75,0,0,2
RxcodeDev,0,26,0,0,1
RxuqZ256,0,260,0,0,153
Ryan-Ababtain,0,0,0,0,0
Ryan-Bell,0,7,2442,0,11
Ryan-MG,3,47,0,0,2
Ryan-Rong-24,7,211,0,1,7
Ryan-Sheehan,0,152,9200,0,7
Ryan-ai1995,0,6,0,0,1
RyanAdalbert,0,1,0,4,4
RyanBruno,3,374,1672,0,71
RyanCrawfordOrr,0,69,414,0,2
RyanHarrison83,0,5,0,0,2
RyanJ3,1,0,0,0,1
RyanJCassidy,0,19,0,0,7
RyanKennebeck,0,36,0,0,13
RyanLamug,0,1,0,0,2
RyanLisse,9,954,1516,1,216
RyanPeng1111,0,0,0,0,18
RyanShook,0,122,112,0,4
RyanWillie,0,144,236,0,12
Ryangr0,24,1685,5945,4,63
Ryanhn717,0,0,0,0,0
RyanmartinCRE,1,73,0,0,7
Ryd-JJBA,0,5,0,0,1
Ryder-C,9,578,228,0,16
Ryder-Jones-8,0,18,0,0,6
RyehJael,1,44,0,0,13
Ryen-LTC,0,3,0,0,1
RylanEqualsFetch,0,17,0,0,1
RynAgain,1,1040,188,0,12
Rynaro,5,509,13418,8,97
Ryno716,1,2,0,0,0
Ryo-cool,0,625,2211,0,101
RyoK3N,1,631,633,1,15
RyoLUtw,0,247,0,0,51
Ryoama,0,23,0,0,8
Ryokushen,0,43,0,0,0
Ryonghan,0,0,0,0,0
RyotaAbe1014,1,1580,5071,68,155
Rysiu201,1,8,0,0,1
Ryson-32,4,21,0,0,6
RyuAmakaze,2,517,0,1,130
Ryugi62,3,1476,2651,0,53
Ryuking1228,1,10,0,0,2
RyusukeMatsumoto7C9-B-2,0,499,6809,3,64
RyuuChou17,1,11,1014,0,4
RyzeR0it,0,19,0,0,3
S-Choudhary1,1,18,0,0,2
S-Corkum,1,998,0,1,29
S-Hairtail,0,1,0,0,1
S-JQKA,1,28,290,0,13
S-Leuthold,0,768,106,0,12
S-Sphere,0,129,0,0,1
S-hk-ri,0,13,0,0,2
S-takeuchi-web,0,0,0,0,0
S0-1R0,0,3,0,0,1
S0M3V3RM1N,0,114,0,0,10
S0N-0F-A-S0N,0,0,0,0,24
S0vers,1,105,0,0,2
S1C4R1O,0,71,0,0,45
S1metrie,0,8,0,0,1
