login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth
Lumieregyn,0.0,1.0,0.0,1,46,1,2
G-systems,0.0,0.0,0.0,1,2,1,1
KolossalKode,0.0,0.0,0.0,1,2,1,1
CarlosFaccelli26,1.0,0.0,0.0,6,0,1,1
p4c4t,0.0,0.0,0.0,4,0,1,1
syamsuardibilu,0.0,0.0,0.0,3,2,1,2
tanishdragonemperor,0.0,0.0,0.0,8,0,1,1
xdrabbit,0.0,0.0,0.0,7,71,1,1
TzJ2006,1.0,8.0,0.0,2,8,1,1
eden0102lee,0.0,0.0,0.0,11,43,1,1
maximofn,9.0,1.0,0.0,11,4,1,1
tunamhoang,0.0,0.0,0.0,7,10,1,1
gastonpgoja,0.0,0.0,0.0,5,0,1,1
Ttumn,0.0,0.0,0.0,2,9,1,2
alvarohtrindade,0.0,0.0,0.0,3,0,1,1
jacobpanov,1.0,0.0,1.0,5,30,1,3
cope000,1.0,0.0,0.0,6,1,1,1
JereSalguero30,0.0,0.0,0.0,4,1,1,1
uluk001,20.0,0.0,0.0,5,0,1,1
Mv77,59.0,12.0,1.0,9,27,1,1
mxurice-rm,1.0,0.0,0.0,2,1,1,1
diemano,13.0,0.0,0.0,15,0,1,1
YhDec26,0.0,0.0,0.0,1,0,1,1
ArvidEllan,2.0,0.0,0.0,4,0,1,1
brennenho,10.0,1.0,1.0,6,0,1,1
msmvprasad,1.0,0.0,0.0,13,0,1,1
mahmoudm,12.0,0.0,0.0,16,0,1,1
hoangbpm,0.0,0.0,0.0,3,0,1,1
lingster,21.0,0.0,0.0,15,0,1,1
abinasn,0.0,0.0,0.0,5,0,1,1
Diabaye-dev,1.0,0.0,0.0,2,15,1,1
thigarcias,12.0,0.0,0.0,3,0,1,1
Adravilag,12.0,0.0,0.0,9,6,1,2
drasha54,0.0,0.0,0.0,2,19,1,2
chaw1,3.0,0.0,0.0,9,0,1,1
ktalmage,0.0,0.0,0.0,6,0,1,1
samithaj,45.0,0.0,0.0,14,6,1,1
Kecki92,1.0,0.0,0.0,3,0,1,1
Ninotna,22.0,0.0,0.0,13,20,1,2
webmas52,0.0,0.0,0.0,11,0,1,1
meal,46.0,0.0,0.0,17,0,1,1
sushanthpy,9.0,0.0,0.0,14,25,1,1
