real_human_author,pull_request_id,comments_by_human_maintainers
ckauf,3242974861,7
MedAnd,3122559134,7
redvelvets,3159071519,7
moose-code,3110098571,7
KrzysztofCwalina,3138414058,7
ari-becker,3030166725,7
yurkinh,3124143626,7
jonathanpeppers,3161387601,7
pierrevalade,3123639861,7
huyenltnguyen,3198441645,7
evan-forbes,3111033132,7
jdx,3225248831,7
JanProvaznik,3198922993,7
vineethkuttan,3134374490,7
xionglingfeng,3084258051,7
lukekarrys,3130870265,7
JamesNK,3244771668,7
ekzhu,3075243153,7
justinchuby,3161317787,7
marrobi,3163243779,7
radical,3102049332,7
anthony-c-martin,3217515128,7
jkotas,3081999258,7
jpayne3506,3126001730,7
evan-forbes,3113268020,7
buddhika75,3265336481,7
pepone,3124835441,7
otoolep,3090993724,7
nvborisenko,3140273018,7
NewFuture,3195573803,7
jkodroff,3156991280,7
captainsafia,3195365909,7
Caroline-99,3253109904,7
AtlantisPleb,3263934382,7
captainsafia,3180198385,7
mitchdenny,3158655778,7
pierrevalade,3158240827,7
maddymontaquila,3131854557,7
aarondandy,3161114956,7
natevm,3218245359,7
ai-apps-bot,3220067260,7
jonnyry,3076670977,7
chiaramooney,3136053629,7
gkulin,3256596335,7
ericnev,3109908968,7
nicolas-raoul,3232013571,7
patmmccann,3114771710,7
sordonia,3123194825,7
kemingy,3221328642,7
jsquire,3194127862,7
rbtr,3119010150,7
six7,3096193455,7
RobHofmann,3119079217,7
six7,3096473993,7
DanielRosenwasser,3078539142,7
ArcturusZhang,3242497585,7
mitchdenny,3087761233,7
EraYaN,3183932739,7
OskarStark,3179460425,7
jviau,3084490358,7
Evangelink,3235010382,7
jcsp,3017016012,7
alexthuth,3075616006,7
captainsafia,3139241740,7
madiator,2771538261,7
AtishayMsft,3178472003,7
TamilarasanSF4853,3168521538,7
flanakin,3084581434,7
btsgh,2792145491,7
jonpryor,3119083821,7
haydenbleasel,3174466173,7
ArcturusZhang,3080743634,7
ishaanshah,3223643354,7
harupy,3258566467,7
justinchuby,3160616420,7
pelikhan,3259892866,7
anupriya13,3229102583,7
evan-forbes,3182406028,7
na1307,3146900482,7
sixcolors,3246453941,7
NewFuture,3224735740,7
francinelucca,3100859823,7
ranma42,3140407668,7
LaurentLesle,3175054599,7
krystophny,3232844270,7
BillWagner,3196115751,7
v-jiaodi,3272323130,7
alii,3172933734,7
davidfowl,3246121444,7
haolingdong-msft,3151882306,7
szokeasaurusrex,3139974947,7
evan-forbes,3138045580,7
sanderpick,3115694514,7
vhvb1989,3094607813,7
spcqike,3230828970,7
xerial,3104922484,7
anupriya13,3258717917,7
Evangelink,3142914272,7
rach-id,3125744468,6
Kathedra,3227962360,6
chiaramooney,3136072840,6
AsafMah,3076401687,6
gbtec-georgs,3151237217,6
lukekarrys,3180452959,6
radical,3112029851,6
nixel2007,3141939979,6
bhagyapathak,3172444753,6
davidfowl,3104789631,6
Torantulino,3141112607,6
Rello,3199191078,6
louwers,3203835478,6
glemco,3226277258,6
Tyriar,3219884699,6
pelikhan,3158602889,6
Caroline-99,3221217744,6
christothes,3161102496,6
DonnieBLT,3075370587,6
bhavyarm,3255282669,6
ludfjig,3075207290,6
harupy,3235103212,6
meganrogge,3158182026,6
saarnilauri,3165207176,6
0xkarmacoma,3150510293,6
xiangyan99,3256751857,6
rootulp,3113175152,6
pshao25,3085653329,6
radical,3151946493,6
IS4Code,3276556654,6
PranavSenthilnathan,3186564845,6
bruno-garcia,3197785109,6
calbera,3209950297,6
evan-forbes,3182915267,6
JoshLove-msft,3210323907,6
rynoV,3074756019,6
brianrob,3189765757,6
harupy,3108908027,6
saminacodes,3197313762,6
Pikachuxxxx,3268113550,6
novinfard,3262429170,6
Fank,3181578456,6
Deltids,3165382142,6
leighmcculloch,3088331987,6
dylan-smith,3210898758,6
conico974,3175455636,6
AliAkhtari78,3091643325,6
nixel2007,3151210646,6
christothes,3176298863,6
JiaqiZhang-Dev,3085010036,6
valadas,3087399940,6
joshlang,3227205708,6
rahul-tuli,3132093324,6
MH4GF,3194483657,6
rantoniuk,3161540724,6
0xRobin,3275923459,6
YusukeHirao,3165558236,6
raineorshine,3156499919,6
m-redding,3172482561,6
JoshLove-msft,3095413885,6
Rugvip,3232672090,6
bruno-garcia,3197760755,6
ci010,3238950653,6
brianrob,3135078870,6
jordanschalm,3270570821,6
KuechA,3209861533,6
corneliusroemer,3160775696,6
Jarred-Sumner,3081547049,6
ChrisRackauckas,3275455685,6
strickvl,3070601228,6
obi1kenobi,3148487759,6
chuckries,3080134448,6
Timothy-Liuxf,3209954297,6
king960,2900058289,6
carsonRadtke,3080501015,6
corco,3117274843,6
foxminchan,3099796157,6
obi1kenobi,3148086960,6
netstersk,3186197332,6
jfversluis,3187477285,6
esauvisky,3206231176,6
daiplusplus,3076267770,6
Ahmed-Aghadi,3118735492,6
SvenAelterman,3227866239,6
shige,3141830770,6
michaeldera,3256255880,6
Jarred-Sumner,3170718881,6
nazreen,3095850088,6
MSNev,3080969048,6
callicles,3075567778,6
simmotech,3232669455,6
AtlantisPleb,3260887009,6
PureWhiteWu,3194774181,6
pierrevalade,3135509457,6
e-sumin,3115993863,6
MrSaturnss,3111325582,6
Murderlon,3195544033,6
ickc,3213048977,6
juliusikkala,3253454706,6
AtishayMsft,3187866797,6
takenagain,3269427129,6
martins0n,3236325867,6
samwillis,3175041273,6
ellahathaway,3077383006,6
krystofmatejka,3077731351,6
ronniegeraghty,3078076894,6
damiankleczko,3076831485,6
Torantulino,3071510323,6
gaby,3151772816,6
transphorm,3270625231,6
sybrew,3190548666,6
czd890,3194656871,6
javiercn,3157938220,6
lgarron,3120704042,6
aibrahim-oai,3224129212,6
pksjce,3254468102,6
kevinclev,3077311015,6
odeke-em,3113175195,6
achantavy,3131656383,6
cleptric,3153069820,6
dperssongrt,2990115371,6
obi1kenobi,3148027458,6
brianrob,3125790678,6
lukasoppermann,3148815078,6
samsaha-ms,3122494142,6
cwfitzgerald,3224697505,6
MH4GF,3171314067,6
ottenhoff,3177212628,6
mo-amzn,3231948361,6
PureWeen,3214232191,6
tyb-dev,3159153388,6
DoubleNom,3242236662,6
VincentSe,3196128756,6
shpalani,3216407461,6
vegaro,3171329551,6
stephanos,3114736501,6
mattkur,3253192160,6
ReneWerner87,3192321146,6
Idrinth,3248888544,6
matmerr,3131512627,6
damiansikora85,3170544938,6
forntoh,3137753437,6
YusukeHirao,3147266863,6
Youssef1313,3157958459,6
mark14wu,3220223180,6
JustinGrote,3138552824,6
nohwnd,3232119740,6
paulobmarcos,3125850603,6
baronfel,3153767187,6
tynes,3140770560,6
magnusottosson,3111006731,6
pierrevalade,3166030819,6
mattwatsonad,3121041195,6
saracarl,3270038594,6
aibrahim-oai,3224208030,6
MervinPraison,3245011006,5
isaaccorley,3185225851,5
billyvg,3184110162,5
szokeasaurusrex,3136628527,5
AlanGRutter,3083599513,5
vhvb1989,3216510215,5
trim21,3221817196,5
manmal,3186370783,5
gcarleo,3093301632,5
justinchuby,3145372553,5
harupy,3197765608,5
ilonatommy,3159745301,5
captainsafia,3074776256,5
lukekarrys,3131521120,5
wtfsayo,3247725112,5
mattleibow,3177154359,5
flanakin,3084897200,5
shiosyakeyakini-info,3191721657,5
KHeresy,3134692878,5
chargome,3195513409,5
fornellas,3175055580,5
jcsp,2984932879,5
obi1kenobi,3165162777,5
natolambert,3072138891,5
toyamarinyon,3082311072,5
ArXen42,3160349414,5
lucasnasc2,3191875426,5
AgentEnder,3153811253,5
WardenGnaw,3161236131,5
captainsafia,3083854650,5
jesserockz,3267543045,5
houssain-barouni,3167462922,5
ghost,3199906831,5
lbussell,3193344742,5
bernardnormier,3103968651,5
ericclemmons,3105400292,5
rach-id,3124811802,5
andrew-welker,3258115779,5
chr-hertel,3182625993,5
radical,3111323650,5
nmwael,3238363969,5
flanakin,3132727237,5
GilboaAWS,3258971322,5
paulfwhite,3212797402,5
finbarrtimbers,3226831249,5
KirillOsenkov,3120627194,5
echeadle,2915901814,5
geoffw0,3255484188,5
six7,3116626220,5
transphorm,3207183981,5
avifenesh,3239748118,5
CyrineKamoun,3097369537,5
StephenWeatherford,3200398251,5
MarcoRossignoli,3231648781,5
vrushankportkey,3155893392,5
squirrelsc,3081361910,5
csyonghe,3268164028,5
joshfree,3219769061,5
weidongxu-microsoft,3194357835,5
swathipil,3158220791,5
jtackaberry,3084861928,5
aaronpowell,3112374597,5
samvaity,3169497988,5
BoazBD,3231937207,5
joshfree,3154756123,5
BoazBD,3196955536,5
luithefirst,3249032709,5
benhillis,3168732332,5
pierrevalade,3151820028,5
ericstj,3209619194,5
jeremycartergf,3198393576,5
eerhardt,3179388883,5
pamelafox,3244675358,5
sklein12,3071076936,5
mntlty,3211948604,5
Alan-Jowett,3164130684,5
fuzzah,3265364263,5
nasuka,3082238634,5
matheper,3091765131,5
kirankumarkolli,3237703446,5
FokkeZB,3230926443,5
ghost,3232675471,5
alextatarinov,3159464933,5
charlesroddie,3248956761,5
Erygh94,3196295632,5
pierrevalade,3154906347,5
oxisto,3212298491,5
incowia-dke,3079799506,5
haydenbleasel,3177549523,5
jongio,3234115546,5
danielayala94,3136051607,5
bpasero,3169097473,5
manulera,3201847853,5
tnaum-ms,3129773117,5
ManickaP,3113703056,5
rach-id,3172409641,5
smalis-msft,3164619696,5
parker-research,3117273620,5
armenzg,3222921590,5
johnishaw,3210960716,5
ruvnet,3230351703,5
sam-goodwin,3105400138,5
AlCalzone,3192752733,5
